date,value
"2023-10-12",1039.99
"2023-10-13",1039.99
"2023-10-14",1039.99
"2023-10-15",1039.99
"2023-10-16",1039.99
"2023-10-17",1039.99
"2023-10-18",1039.99
"2023-10-19",1039.87
"2023-10-20",1039.99
"2023-10-21",1039.99
"2023-10-22",1039.99
"2023-10-23",1039.99
"2023-10-24",1039.99
"2023-10-25",1039.99
"2023-10-26",1039.99
"2023-10-27",1039.59
"2023-10-28",1039.55
"2023-10-29",1039.55
"2023-10-30",1039.55
"2023-10-31",1039.59
"2023-11-01",1049.78
"2023-11-02",1049.78
"2023-11-03",1049.78
"2023-11-04",1049.78
"2023-11-05",1049.78
"2023-11-06",1049.77
"2023-11-07",1049.77
"2023-11-08",1049.77
"2023-11-09",1049.77
"2023-11-10",1049.77
"2023-11-11",1049.77
"2023-11-12",1049.77
"2023-11-13",1049.77
"2023-11-14",1049.77
"2023-11-15",1049.77
"2023-11-16",1049.77
"2023-11-17",1049.77
"2023-11-18",1049.77
"2023-11-19",1049.77
"2023-11-20",1049.77
"2023-11-21",1049.77
"2023-11-22",1049.77
"2023-11-23",1049.77
"2023-11-24",1049.77
"2023-11-25",1049.77
"2023-11-26",1049.77
"2023-11-27",1049.77
"2023-11-28",1049.77
"2023-11-29",1049.77
"2023-11-30",1049.77
"2023-12-01",1092.23
"2023-12-02",1092.23
"2023-12-03",1092.23
"2023-12-04",1092.26
"2023-12-05",1092.26
"2023-12-06",1092.26
"2023-12-07",1092.26
"2023-12-08",1092.26
"2023-12-09",1092.26
"2023-12-10",1092.26
"2023-12-11",1092.26
"2023-12-12",1092.26
"2023-12-13",1092.26
"2023-12-14",1092.26
"2023-12-15",1092.26
"2023-12-16",1092.26
"2023-12-17",1092.26
"2023-12-18",1092.26
"2023-12-19",1092.26
"2023-12-20",1092.26
"2023-12-21",1092.26
"2023-12-22",1092.26
"2023-12-23",1092.26
"2023-12-24",1092.23
"2023-12-25",1092.23
"2023-12-26",1092.21
"2023-12-27",1092.2
"2023-12-28",1092.2
"2023-12-29",1092.2
"2023-12-30",1092.2
"2023-12-31",1092.2
"2024-01-01",1001.74
"2024-01-02",1001.74
"2024-01-03",1001.74
"2024-01-04",1001.74
"2024-01-05",1001.74
"2024-01-06",1001.74
"2024-01-07",1001.74
"2024-01-08",1001.74
"2024-01-09",1001.74
"2024-01-10",1001.74
"2024-01-11",1001.74
"2024-01-12",1001.74
"2024-01-13",1001.74
"2024-01-14",1001.74
"2024-01-15",1001.75
"2024-01-16",1001.75
"2024-01-17",1001.75
"2024-01-18",1001.74
"2024-01-19",1001.74
"2024-01-20",1001.74
"2024-01-21",1001.74
"2024-01-22",1001.75
"2024-01-23",1001.74
"2024-01-24",1001.74
"2024-01-25",1001.74
"2024-01-26",1001.74
"2024-01-27",1001.74
"2024-01-28",1001.74
"2024-01-29",1001.74
"2024-01-30",1001.74
"2024-01-31",1001.75
"2024-02-01",980.51
"2024-02-02",980.51
"2024-02-03",980.51
"2024-02-04",980.51
"2024-02-05",980.51
"2024-02-06",980.51
"2024-02-07",980.51
"2024-02-08",980.51
"2024-02-09",980.51
"2024-02-10",980.51
"2024-02-11",980.51
"2024-02-12",980.51
"2024-02-13",980.51
"2024-02-14",980.51
"2024-02-15",980.51
"2024-02-16",980.51
"2024-02-17",980.51
"2024-02-18",980.51
"2024-02-19",980.51
"2024-02-20",980.51
"2024-02-21",980.51
"2024-02-22",980.51
"2024-02-23",980.51
"2024-02-24",980.51
"2024-02-25",980.51
"2024-02-26",980.51
"2024-02-27",980.51
"2024-02-28",980.51
"2024-02-29",980.51
"2024-03-01",990.9
"2024-03-02",990.9
"2024-03-03",990.9
"2024-03-04",990.9
"2024-03-05",990.9
"2024-03-06",990.9
"2024-03-07",990.9
"2024-03-08",990.9
"2024-03-09",990.9
"2024-03-10",990.9
"2024-03-11",990.9
"2024-03-12",990.9
"2024-03-13",990.9
"2024-03-14",990.9
"2024-03-15",990.9
"2024-03-16",990.9
"2024-03-17",990.9
"2024-03-18",990.9
"2024-03-19",990.9
"2024-03-20",990.9
"2024-03-21",990.9
"2024-03-22",990.9
"2024-03-23",990.9
"2024-03-24",990.9
"2024-03-25",990.9
"2024-03-26",990.9
"2024-03-27",990.9
"2024-03-28",990.9
"2024-03-29",990.9
"2024-03-30",990.9
"2024-03-31",990.9
"2024-04-01",1012.06
"2024-04-02",1012.06
"2024-04-03",1012.13
"2024-04-04",1012.13
"2024-04-05",1012.13
"2024-04-06",1012.13
"2024-04-07",1012.06
"2024-04-08",1012.06
"2024-04-09",1012.06
"2024-04-10",1012.15
"2024-04-11",1012.13
"2024-04-12",1012.13
"2024-04-13",1012.13
"2024-04-14",1012.13
"2024-04-15",1012.15
"2024-04-16",1012.15
"2024-04-17",1012.17
"2024-04-18",1012.15
"2024-04-19",1012.06
"2024-04-20",1012.06
"2024-04-21",1012.06
"2024-04-22",1012.06
"2024-04-23",1012.06
"2024-04-24",1012.07
"2024-04-25",1012.06
"2024-04-26",1012.06
"2024-04-27",1012.06
"2024-04-28",1012.06
"2024-04-29",1012.06
"2024-04-30",1012.06
"2024-05-01",965.3
"2024-05-02",965.3
"2024-05-03",965.3
"2024-05-04",965.3
"2024-05-05",965.3
"2024-05-06",965.3
"2024-05-07",965.3
"2024-05-08",965.3
"2024-05-09",965.3
"2024-05-10",965.3
"2024-05-11",965.3
"2024-05-12",965.3
"2024-05-13",965.3
"2024-05-14",965.3
"2024-05-15",965.3
"2024-05-16",965.3
"2024-05-17",965.3
"2024-05-18",965.3
"2024-05-19",965.3
"2024-05-20",965.3
"2024-05-21",965.3
"2024-05-22",965.3
"2024-05-23",965.3
"2024-05-24",965.3
"2024-05-25",965.3
"2024-05-26",965.3
"2024-05-27",965.3
"2024-05-28",965.3
"2024-05-29",965.3
"2024-05-30",965.3
"2024-05-31",965.3
"2024-06-01",946.18
"2024-06-02",946.18
"2024-06-03",946.18
"2024-06-04",946.18
"2024-06-05",946.18
"2024-06-06",946.18
"2024-06-07",946.18
"2024-06-08",946.18
"2024-06-09",946.18
"2024-06-10",946.18
"2024-06-11",946.18
"2024-06-12",946.18
"2024-06-13",946.18
"2024-06-14",946.18
"2024-06-15",946.19
"2024-06-16",946.18
"2024-06-17",946.18
"2024-06-18",946.18
"2024-06-19",946.18
"2024-06-20",946.18
"2024-06-21",946.18
"2024-06-22",946.18
"2024-06-23",946.18
"2024-06-24",946.18
"2024-06-25",946.18
"2024-06-26",946.18
"2024-06-27",946.18
"2024-06-28",946.18
"2024-06-29",946.18
"2024-06-30",946.18
"2024-07-01",931.3
"2024-07-02",931.3
"2024-07-03",931.3
"2024-07-04",931.3
"2024-07-05",931.3
"2024-07-06",931.3
"2024-07-07",931.31
"2024-07-08",931.3
"2024-07-09",931.3
"2024-07-10",931.3
"2024-07-11",931.3
"2024-07-12",931.3
"2024-07-13",931.3
"2024-07-14",931.3
"2024-07-15",931.3
"2024-07-16",931.3
"2024-07-17",931.3
"2024-07-18",931.3
"2024-07-19",931.3
"2024-07-20",931.3
"2024-07-21",931.3
"2024-07-22",931.3
"2024-07-23",931.3
"2024-07-24",931.3
"2024-07-25",931.3
"2024-07-26",931.3
"2024-07-27",931.3
"2024-07-28",931.3
"2024-07-29",931.3
"2024-07-30",931.3
"2024-07-31",931.3
"2024-08-01",906.28
"2024-08-02",906.28
"2024-08-03",906.28
"2024-08-04",906.28
"2024-08-05",906.28
"2024-08-06",906.28
"2024-08-07",906.28
"2024-08-08",906.28
"2024-08-09",906.28
"2024-08-10",906.28
"2024-08-11",906.28
"2024-08-12",906.28
"2024-08-13",906.28
"2024-08-14",906.28
"2024-08-15",906.28
"2024-08-16",906.28
"2024-08-17",906.28
"2024-08-18",906.28
"2024-08-19",906.28
"2024-08-20",906.28
"2024-08-21",906.28
"2024-08-22",906.28
"2024-08-23",906.28
"2024-08-24",906.28
"2024-08-25",906.28
"2024-08-26",906.28
"2024-08-27",906.28
"2024-08-28",906.28
"2024-08-29",906.28
"2024-08-30",906.28
"2024-08-31",906.29
"2024-09-01",911.61
"2024-09-02",911.61
"2024-09-03",911.61
"2024-09-04",911.61
"2024-09-05",911.61
"2024-09-06",911.61
"2024-09-07",911.61
"2024-09-08",911.61
"2024-09-09",911.61
"2024-09-10",911.61
"2024-09-11",911.61
"2024-09-12",911.61
"2024-09-13",911.61
"2024-09-14",911.61
"2024-09-15",911.61
"2024-09-16",911.61
